rating,review
1,"The BLACK+DECKER Digital Microwave Oven is a sleek addition to my kitchen with its modern design. Its digital interface is user-friendly and makes heating food a breeze. The variety of power settings allows for precise control over cooking, which is great for someone like me who appreciates a well-cooked meal. The size is perfect for my countertop, and it’s easy to clean. I was really looking forward to using the BLACK+DECKER Digital Microwave Oven, but unfortunately, it never arrived. My experience with Amazon's customer service while trying to resolve the delivery issue was less than satisfactory. It took quite a while and several exchanges to reach a resolution, which was not in my favor as they denied a full refund for unclear reasons. It's unfortunate as I had high hopes for this purchase and the support from Amazon. Overall, it is a functional and aesthetically pleasing appliance that lives up to its brand's reputation."
1,"The advertised internal dimensions are totally misleading.  Do not think you will be able to fit a dish that is nearly as large as the advertised dimensions.Advertised Internal Dims:__Wide: 12.05""__Tall:  8.11""__Deep:  11.97""Measured:__Opening Width: 10.75""__Opening Height:  6.75""__Practical Radius: 5.125"" (from center of turn table to nearest obstruction)__Practical Diameter:  10.25""  (2x radius)__Plate Diameter:  11.3""  (My plate.  It fit in my old 0.7 cu-ft GE microwave.  Does not fit in this ""11.97 inch deep microwave"". )Plus, notice the protrusion on the inside right wall.  How is a person supposed to fit their larger taller dishes in there?  Unless you only eat microwaved popcorn in bags, no one has dishes that are shaped like this inside volume.  Besides the misleading advertisement, the design just seems really poor with the pop-outs off axis and too high to use with a plate.**I never ran mine, so I cannot speak the performance of the unit.  When my favorite plates didn't fit I put the MW back in the box and returned it.  I wasted four days on this poorly presented mistake."
1,"I don’t understand the number of positive reviews. Here is my honest reflection after having had this microwave for 3 months. I talk about the following below: (1) low power, (2) lingering smell, and (3) useless turntable.(1) Low Power. When I say low, I mean it can’t heat one cup of room temperature water in a mug. We had a much better built in microwave in our previous house and needed to buy a new one since our new house didn’t have one built in. We got this one for the small foot print. Unfortunately, it takes us more than twice the amount of time to heat foods and beverages as compared to our last one.(2) Lingering Smell. If you heat anything in there with any type of scent, be prepared to either leave the door open (and therefor the light on) overnight for the smell to dissipate or live with eating or drinking the scent of whatever was in there prior. If you heat fish, forget about using it for another day. I’ve used it to heat salmon one night and opened it up to heat a cold cup of coffee mid morning the next day only to be met by the most foul scent that can only come from old fish odor. Btw, i clean my microwave daily and it’s spotless so it’s not from food splatters.(3) the turntable is a piece of glass that sits on top of a loose plastic ring with three wheel and the whole thing slides ALL OVER THE PLACE. There are three grooves at the bottom of the glass turntable that is supposed to catch the center turning mechanism in the microwave. However, that will only happen if you precariously balance it in such a way that doesn’t slide around on the wheeled ring thing AND is perfectly situated in mismatched grooves. A hair off and the whole thing slides around again.I wish I had the time and energy to send this back when I still have the chance. Do yourself a favor and pass."
1,"So I got this a few months ago and noticed it smelled funny when using it, didn't think much of it. Then a few weeks later I started noticing little bugs in the digital timer area, thought,  ok we get ants sometimes maybe they got in there. Then weeks go by and I start seeing roaches around my house particularly in the kitchen area. We've never had roaches before ever. I call the exterminator, explain everything. Exterminator comes opens up the microwave on the side, like took the side off, it was FULL OF ROACH EGGS AND ROACHES!!! Yuck!!!! So this little under microwave ended up costing me $185 for the exterminator to come, then $75/month for the next year to keep treating my house so they don't come back. I really wish Amazon would refund my money and pay my exterminator costs, but who knows. I'm so disgusted and upset over this. After the initial exterminator costs plus the costs of having the roach treatments for the next year this microwave is costing me $1010! Do not buy!"
1,"This microwave literally blew up when my husband plugged it in the wall. Each time I tried to return this broken, defective product, the site would direct me to watch a video on how to fix the problem, rather than allow me to return this non-usable item. I teach and intended to take it to my elementary school. I am grateful I did not take this dangerous appliance around my students I am out money and very disappointed at the complete lack of customer service.  DO NOT PURCHASE THIS MICROWAVE!"
1,This is an extremely weak microwave. I have to heat things for twice the recommended time to get them to heat up. Also tons of condensation build up every time so much that the door drips when I open it and I have to wipe it down. Such a pain. Have never experienced such a terrible microwave. Spend a little  more and get something better.
1,"Pros: SizeCons: 1. The control pad is very resistant to being pushed. In order to make a selection, you literally have to hold on to the unit to keep it from sliding away. I admit it's on top of my refrigerator, which is metal, but the level of pressure to engage a control is dumb. I used it on quartzite counter top and it would slide around. Maybe if it's on very rough wood it wouldn't slide around; maybe. 2. When the table is rotating the noise is a wa, wa, wa, wa. Loud enough to be unwanted."
1,MIcrowave came with box destroyed and crayon marks covering inside of the box. Food stuck on the rotating tray and greasy fingerprins all over it! The back of the microwave is caved in and numerous dents on front and sides. The door..
1,"this microwave only lasted 2 years. the paint started to chip after 1 year. Now, finally, after cooking a few items back to back (6-9 min) the interior side of the microwave started to swell into a cancerous growth and turned black. I first thought it was food that exploded and stuck to the side but we always use a plate cover when heating food. when I tried to chip it off it just created a mess and didn't budge. The picture is of its final state before we replaced it. The paint chipping is very concerning alone but this is just horrible!"
1,It doesn’t heat well the tray never stays on right. It looks like it overheated in side as it had dark marks it has chipped all within 2 years. Do not buy. I usually do not leave reviews but this one was so awful I had to warn people.
1,I purchased this microwave in Dec 2020.  I live alone and it is not heavily used.  Within a year it started to develop rust inside along the seams even though I was always careful to allow it to dry thoroughly after use.  Now the paint inside the microwave has actually bubbled and will be peeling off.  I don't even know if it is safe to use.  I have had many microwaves in my long life and I have never seen anything like this.  Nor has anyone that I show it too.  I do not recommend that anyone buy this microwave.
1,"This is a nice-looking microwave. But that's about it's only good feature.I noticed when I received it that the touch panel was slightly bubbled -- and although it didn't seem to affect the performance, I was afraid that it might in the future. So, I ordered a replacement and it had the exact same problem. After cooking anything, excessive, dripping condensation forms inside the microwave-- and it doesn't dry. The door and turntable were literally dripping wet all the time. Other reviewers have noted the same about this and other Black & Decker microwaves. And within 2 weeks, the power seemed to drop by half. I unfortunately had to return it."
1,The microwave stopped working. It doesn't work no more. I need to return it. I will order another one.
1,"Not a good microwave.  After I set it up and plugged it in.  Put a tv dinner in it and it started to smoke.  Thinking maybe something was wrong with the TV dinner, I tried something else and it smoked also."
1,"I bought this to replace my current small microwave that would not fit my Dr. Brown bottle sterilizer.  Based on the published internal dimensions on the item description it should fit just fine with lots of spare room. “ Internal dimensions: 12.05” x 11.97” x 8.11” (W*D*H)  “. In fact the only way to fit the sterilizer is to remove the carosel plate and angle it in just right.  The actual door opening is only 11” wide x 6 7/8” high. If the carosel is installed it’s only about 6 1/4” high.  Depth is only 10 1/4”.  Note there is a bump back in the back and the side but still nowhere near the advertised interior dimensions.  This is very disappointing when you are buying it to fit specific items.  Please include accurate dimensions.  Tell people the real product interior dimensions  11” wide x 6 1/4” height x 10 1/4” depth!Update******Fire hazard-  now after less than two years it’s a fire hazard, it shorts, arch’s and smokes if you try to heat any frozen food in multiple known microwave safe containers.  Smoke and bright light emit from side panel as soon as you push start.  This item is a huge fire hazard!"
1,Microwave take forever to heat up food. It’s a good size for limited counter space but the usual 1minute 30 seconds will not do to heat any food. I sometimes have to double and triple heat food. Tried 2 minutes on a regular size plate and the food was still cold so I tried 2 minutes again and it was still cold so I tried again snd it eventually got warm. The power button doesn’t work on the one I got so there’s no adjusting or knowing what setting it’s on.
1,"It is supposed to be the best microwave??!! In my opinion, it is the worst. It does not warm up the food. Turntable works when it wants to. I do not have the original box. I can not return it. I am very unhappy. Stay away from this one."
1,"Single person light usage with meticulous cleaning with no chemicals…..this is what happened after a year and a half.  Black n Decker support frustrating having me send repeated multiple documentation to then tell me it is out of warranty.  They sometimes make exceptions, they said, but not in this case.So far, extended warranty won’t cover it either.Update:  Asurion warranty stepped up..yay.  Still disappointed with BlackNDecker and will NOT buy again."
1,"This product worked fine, until it didn't. It stopped working 11 months & 2 days after the purchase date. It began sparking & there was a burned area on the right-hand side wall. Pretty scary.  That an apparently ""well-made"" appliance like this lasts less than a year is quite disappointing. I don't know if other brands are any better, but I would advise staying away from this one."
1,"Had to return, defective/ didn’t work"
1,Microwave is so lightweight that it easily moves around.Never consistently cooks. If I make a bag of popcorn at 1.5 minutes it burns but the next bag set at 1.5 minutes will not be popped completely.Not very powerful as it statesOverall just not a good microwave. Wish I would have paid a little more for a better one.
1,"The open-door button broke within 3 months of use, the surface of all buttons started wearing and is now looking very ragged within 6 months of use. Still heats food but not good quality."
1,"This has been a decent microwave oven until it lasted. It is not powerful, but you get used to it. The reason for the one star review is longevity of the product. It died exactly two months after the 2 year warranty expired. I was expecting more from Black & Decker. Now when I turn the microwave on, there is flame inside, very scary noise and burnt electric smell. So it goes to the garbage, but was good during its short lifespan of 2 years and 2 months of service,"
1,"I am not one to trash a product, but boy, they don't make 'em like they used to.  I am reviewing the small 700 W version.  The buttons are terrible.  You have to lean hard into them to accept your command, but the oven is so light, it slides all over the counter when you do that.  The back is not flush, with one side sticking out farther than the other, so , when you press hard into it, it settles into a crooked position.  The +30 second button does nothing for the timer, so, you can't add to the timer while it is running.  Do yourself a favor and look elsewhere.  This thing is worthless."
1,The buttons do not work on the control panel. Some of the buttons intermittently worked the first few days then got progressively more frustrating and have now completely stopped working.
1,Ordered twice both times it was delivered damaged. I gave up and did not try again.
1,"I never got to use it , when i received it was all dented up, and i couldn't use it"
1,This Black & Decker microwave arrived in a box without any damage. Perplexed. In the past I’ve ordered items ‘lightly used’ or ‘slight damage’ ~ this is NOT acceptable Amazon.
1,Doesnt cook food or heat it up even on 30 seconds. Gotta almost add a minute extra for it to work and get warm
1,The number pad did not work.
1,Not enough power
1,"Noticed it was sweating a lot on the interior and the left side was too hot to touch, only after running for 5 min. No air moving near vents-researched it and apparently the fan is no longer working. Unacceptable for such a short time frame. Choose a different brand."
1,"Reliability is a huge issue, broke after half year of light use."
1,"We bought this microwave last year and have always had problems with the moisture collection on the door and bottom of the inside. We clean it out regularly and wipe the moisture out, but tonight we discovered that there were maggots growing on the inside of our microwave. So disgusting, don’t know why this microwave has so many good reviews. Do not buy this."
1,This microwave leaves condensation after you use it. If you don’t wipe it out after every use it will mold. I had to throw it out.
1,"On its 3rd use, my wife was popping popcorn in the microwave and we heard an explosion after maybe 20 seconds of starting it. The turntable had cracked in half. Never seen this happen before in my entire life. Amazon was no help at all, they wanted me to contact the manufacturer or maybe give me $20. I just wanted a microwave that worked properly after my other one went out. Now I guess it’s a trip to Walmart. I am sending it back for a refund. Maybe they’ll give me my money back. I’m just about done with Prime and the whole Amazon company. They’re not the same company they were."
1,"Terrible, underpowered microwave.  The keypad is the worst - you have to push keys down hard and sometimes they don’t work at all. Doesn’t fit a full plate even though that’s what the description says.  0 stars."
1,"I would not recommend this microwave.I bought the microwave less than a year ago and it recently broke. Specifically, it sparked while baking a simple potato on a plate. Luckily, I was next to the device as a small fire was starting and immediately stopped it. I’ve never experienced a product malfunction in this manner.Furthermore, what’s almost more disappointing is that my experience with customer service was awful. After the incident occurred, I called the company to explain the situation. I was told someone would contact me to rectify the situation, but it’s been weeks. I’ll update this review accordingly if I hear back from customer service and the matter is resolved."
1,"I would push the start button, then its power stopped and also tripped the circuit and all nearby circuits on my kitchen island. I had to flip the breaker switches at the power box to restore power to those sockets.It happened again a few weeks later, and then the sockets stopped working completely! Flipping the breaker switches doesn’t reset them anymore and now I’m without electricity on my kitchen island. Thanks Black and Decker…"
1,"I could've gotten a bigger microwave than this for 99$!! It might work good but the size for the price, not worth it I wouldn't recommend unless it's just for a single person."
