Bigram,Count
a-about,404
a-air,148
a-angle,404
a-as,404
a-baby,16
a-back,148
a-backhoe,404
a-backlight,404
a-backlit,404
a-backup,66
a-backyard,404
a-bad,223
a-bag,247
a-bagel,404
a-bake,404
a-baked,16
a-baker,404
a-ball,404
a-bang,404
a-banging,404
a-bargain,404
a-base,404
a-basement,404
a-basic,271
a-basket,404
a-batch,404
a-battery,404
a-bearing,404
a-beast,404
a-beat,404
a-beautiful,260
a-bed,404
a-bedroom,404
a-beep,42
a-beeping,404
a-beer,404
a-behemoth,404
a-bent,404
a-better,142
a-beverage,213
a-big,136
a-bigger,190
a-biggger,404
a-bind,404
a-birthday,404
a-bit,262
a-black,16
a-blackened,404
a-blank,404
a-blast,404
a-blender,404
a-blessing,404
a-blind,404
a-blue,16
a-boat,404
a-bog,404
a-boil,404
a-bonus,317
a-book,148
a-booklet,16
a-boom,404
a-bother,404
a-bottom,404
a-bowl,82
a-box,52
a-boyt,404
a-brand,201
a-bread,404
a-breaker,16
a-breeze,317
a-breville,404
a-brick,404
a-bridge,404
a-brief,16
a-bright,121
a-brighter,404
a-brightly,404
a-broiler,190
a-broiling,404
a-broke,404
a-broken,213
a-brown,404
a-bruise,404
a-bubble,404
a-bubbling,404
a-budget,404
a-bug,16
a-buggy,404
a-built,296
a-bulky,404
a-bum,16
a-bummer,66
a-bump,16
a-bumping,404
a-bun,404
a-bunch,121
a-bundle,404
a-burglar,404
a-burned,404
a-burning,252
a-burnt,404
a-burrito,404
a-busy,16
a-but,16
a-butcher,404
a-buttered,404
a-button,83
a-buzz,404
a-buzzing,148
a-cabinet,260
a-cace,404
a-cake,404
a-call,404
a-callback,404
a-camper,404
a-can,16
a-cancerous,404
a-canning,404
a-caption,404
a-cardboard,213
a-carousel,404
a-carrier,404
a-cascade,404
a-case,404
a-casserole,404
a-cat,404
a-catastrophic,404
a-cautionary,404
a-cave,16
a-century,404
a-ceramic,404
a-certain,96
a-certificate,404
a-certified,404
a-challenge,404
a-challenging,404
a-champ,404
a-chance,121
a-charcoal,404
a-charm,404
a-chart,16
a-chat,404
a-chatroom,404
a-cheap,42
a-cheaper,296
a-cheapie,404
a-cheaply,404
a-check,310
a-checklist,404
a-cheep,404
a-chemical,404
a-chicken,86
a-child,148
a-chili,404
a-china,404
a-chinese,213
a-chip,404
a-choice,404
a-chore,404
a-chrome,404
a-chunk,404
a-chunky,404
a-cinch,404
a-circle,404
a-circuit,404
a-circular,404
a-city,404
a-claim,404
a-class,404
a-classroom,404
a-clean,404
a-click,16
a-clicking,404
a-clock,16
a-close,16
a-closer,404
a-cloth,404
a-club,404
a-clue,404
a-clunking,404
a-clunky,404
a-code,278
a-coffee,86
a-cold,190
a-college,260
a-combination,96
a-combo,232
a-commodity,404
a-common,404
a-compact,101
a-compactmicrowave,404
a-company,235
a-comparable,404
a-comparison,404
a-competent,404
a-complaint,16
a-complete,329
a-component,404
a-compromised,404
a-computer,404
a-con,404
a-concern,404
a-connected,404
a-considerable,404
a-consistent,404
a-constant,404
a-contact,404
a-container,404
a-contemporary,404
a-continued,404
a-continuous,404
a-control,16
a-convection,66
a-convenient,404
a-conventional,190
a-convert,404
a-convoluted,404
a-cook,116
a-cookbook,404
a-cooked,404
a-cookie,404
a-cooking,296
a-cool,404
a-cooler,404
a-copy,404
a-corn,404
a-corner,232
a-costco,404
a-cotton,404
a-counter,247
a-counterintuitive,404
a-countertop,346
a-couple,54
a-courtesy,404
a-cover,404
a-covered,404
a-crack,404
a-crackle,404
a-crap,404
a-crappie,404
a-crappy,96
a-crazy,404
a-creamy,404
a-credit,148
a-crisp,16
a-crisper,404
a-criticism,404
a-cubic,160
a-cumulative,404
a-cup,88
a-current,404
a-currently,404
a-curve,404
a-custom,232
a-customer,404
a-cute,121
a-cycle,66
a-dab,404
a-dado,404
a-daily,404
a-damaged,296
a-damp,190
a-dark,232
a-darker,404
a-day,21
a-dead,16
a-deal,78
a-dealbreaker,404
a-dealer,404
a-decade,66
a-decent,52
a-dedicated,404
a-deep,190
a-default,404
a-defect,148
a-defective,252
a-definite,404
a-defrost,121
a-defunct,404
a-delight,404
a-demo,404
a-demolition,404
a-dent,137
a-descent,404
a-design,73
a-designed,404
a-desired,404
a-detail,404
a-dial,404
a-diameter,121
a-difference,42
a-different,206
a-difficult,66
a-digital,404
a-dilatory,404
a-dim,404
a-ding,16
a-dinky,404
a-dinner,93
a-dint,404
a-direct,404
a-dirty,404
a-disabled,404
a-disappointing,404
a-disappointment,404
a-disaster,404
a-disco,404
a-discount,148
a-discounted,404
a-disgrace,404
a-dish,66
a-dishwasher,404
a-display,404
a-distance,404
a-disturbing,404
a-divergence,404
a-door,260
a-doorbell,404
a-doornail,404
a-dorm,95
a-double,16
a-doubt,213
a-downside,404
a-downsize,404
a-downsized,404
a-downstairs,404
a-dozen,404
a-dramatic,404
a-draw,404
a-dream,404
a-drilled,404
a-drink,404
a-dud,148
a-dumb,404
a-dump,404
a-durable,404
a-dying,148
a-easy,16
a-elderly,404
a-electric,404
a-electronic,404
a-error,404
a-established,404
a-extra,404
a-extremely,404
a-facility,404
a-fact,404
a-factory,404
a-fad,404
a-fail,404
a-failed,404
a-failure,404
a-fair,148
a-fairly,232
a-fall,404
a-familiar,404
a-family,160
a-fan,47
a-fancy,404
a-fantastic,404
a-far,404
a-farberware,235
a-farce,404
a-fast,16
a-faster,404
a-fatal,16
a-fault,16
a-faulty,404
a-favor,404
a-fear,404
a-feather,404
a-feature,308
a-features,404
a-federal,404
a-fee,404
a-feeling,404
a-female,404
a-few,9
a-file,404
a-filing,404
a-find,404
a-fine,15
a-fingernail,404
a-fingerprint,404
a-finish,404
a-fire,278
a-fireball,404
a-firm,404
a-firmware,404
a-first,66
a-five,404
a-fix,96
a-fixed,404
a-flame,404
a-flash,73
a-flashlight,190
a-flat,296
a-flexible,404
a-fluke,404
a-foam,404
a-follow,404
a-food,281
a-foot,404
a-footprint,404
a-form,404
a-formal,404
a-former,404
a-formerly,404
a-formica,16
a-four,404
a-fourth,16
a-fraction,404
a-free,66
a-frequency,404
a-frequent,404
a-fridge,404
a-friend,96
a-frightening,404
a-frozen,18
a-frustrating,404
a-full,131
a-fully,404
a-function,16
a-functional,121
a-functioning,404
a-fuse,148
a-gain,404
a-gallon,404
a-gamble,404
a-game,16
a-garbage,404
a-gazillion,404
a-general,148
a-generator,404
a-generic,404
a-gentle,404
a-genuine,404
a-gfi,16
a-ghastly,404
a-giant,190
a-gift,38
a-gimmick,404
a-gist,404
a-glaring,16
a-glass,52
a-glitch,404
a-glorified,404
a-gloss,404
a-glove,404
a-glowing,404
a-go,404
a-godsend,404
a-golf,404
a-good,102
a-granite,404
a-grate,404
a-grating,404
a-gray,404
a-great,261
a-greater,404
a-grey,404
a-grill,404
a-grilling,404
a-grinding,213
a-groaning,404
a-groove,404
a-gross,404
a-ground,404
a-grounded,190
a-growling,404
a-guessing,404
a-guide,404
a-guideline,404
a-gun,404
a-gunmetal,404
a-guy,404
a-habit,404
a-hair,148
a-half,154
a-hamburger,404
a-hand,404
a-handful,66
a-handle,291
a-handy,190
a-hanging,404
a-happy,148
a-hard,96
a-hardship,404
a-hassle,235
a-hawk,404
a-hazard,213
a-hazardous,404
a-headache,404
a-healthy,404
a-heart,404
a-heartbeat,404
a-heat,404
a-heating,404
a-heavy,96
a-high,148
a-higher,16
a-highlighted,404
a-highly,404
a-hint,404
a-history,404
a-hobby,404
a-hold,404
a-hole,96
a-hollow,404
a-home,160
a-horizontal,404
a-horrible,350
a-horrid,404
a-horrific,16
a-horror,404
a-hospital,404
a-host,404
a-hot,66
a-hotel,404
a-hotspot,404
a-house,96
a-household,213
a-housewarming,190
a-how,404
a-huge,48
a-hugely,404
a-hum,404
a-human,235
a-humidity,404
a-huming,404
a-hundred,16
a-hurry,232
a-husband,404
a-inexpensive,404
a-instruction,404
a-interim,404
a-issue,404
a-item,16
a-jar,404
a-jerky,404
a-jet,404
a-job,404
a-joke,175
a-joy,404
a-jumbled,404
a-just,404
a-keep,404
a-keeper,404
a-key,404
a-keypad,16
a-keypress,404
a-kid,404
a-kill,404
a-kind,16
a-kitchen,317
a-kitchenaid,404
a-knife,404
a-known,96
a-la,404
a-label,16
a-labyrinth,404
a-lack,404
a-laminate,404
a-landfill,404
a-landlord,404
a-laptop,404
a-large,196
a-larger,290
a-latch,404
a-latte,404
a-laziness,404
a-leading,404
a-learning,404
a-led,404
a-leg,404
a-legitimate,404
a-lemon,278
a-less,96
a-lesser,16
a-lesson,404
a-level,121
a-lever,404
a-lick,404
a-lid,404
a-lie,404
a-lifesaver,404
a-light,107
a-lighted,404
a-lighter,404
a-lightning,404
a-like,404
a-limit,404
a-limited,16
a-line,404
a-lingering,404
